business_id,city,state,postal_code,latitude,longitude,stars,review_count,is_open,Alcohol,Ambience,Parking,BusinessAcceptsCreditCards,GoodForkids,NoiseLevel,OutdoorSeating,RestaurantsDelivery,PriceRange,RestaurantsReservations,RestaurantsTableService
_4qndNOqaB-dDIPCI2MkCg,Rocky River,OH,44116,41.483336,-81.840107,4,43,1,3,0,4,2,2,1,2,1,2,2,2
_4tCeVrLRmI18BscMiHr7Q,Las Vegas,NV,89102,36.1309039,-115.1960063,4.5,87,1,3,8,4,2,2,3,1,1,2,2,2
_4Tus-IHFA4ErdNg32yvBQ,Westlake,OH,44145,41.4643579,-81.9505965,2.5,5,1,1,8,0,2,2,3,1,1,1,1,1
_4UK9z9ycMPd9AWxJBD1Gw,Mesa,AZ,85204,33.4149073,-111.8057924,2.5,13,1,1,0,4,2,2,4,1,1,1,1,2
_4zFDLCB8Ukz9JaJnzTi4g,Huntersville,NC,28078,35.4060437,-80.8649403,4.5,18,1,1,0,0,2,2,1,1,1,1,1,1
_58OWmDQ7IUFe8WnKvwzhw,Tempe,AZ,85282,33.383123225,-111.9644849,2.5,19,1,1,0,0,2,2,3,1,1,1,1,1
_5inlOVvlrCOKcI772RqJQ,Cleveland,OH,44122,41.4645153,-81.5155807,2.5,66,1,3,8,4,2,2,3,1,1,3,2,2
_5p2MuUnX7aYIh0c1WHg1w,Charlotte,NC,28262,35.280474,-80.792964,3.5,13,1,3,0,0,2,2,1,1,1,2,2,2
_5PJ4GHIXNdUdXtohylKGQ,Cleveland,OH,44113,41.477338,-81.6830674,4,627,1,1,4,2,2,2,3,2,1,2,1,2
_5S-0t10CgqKuMW6yiklHQ,Gastonia,NC,28052,35.2803528,-81.1885975,3.5,12,1,3,0,0,2,2,3,1,1,2,1,2
_5UAFrD3EDgJO1aZgRxH7w,Charlotte,NC,28203,35.2143631,-80.8575705,4,302,1,1,0,2,1,2,3,1,1,1,1,1
_5wi2C7x68Bt14qhdCqi1Q,North Las Vegas,NV,89031,36.2745259,-115.1440982,3,62,1,1,8,4,2,2,3,1,1,1,1,1
_6b9CtXi4fQqiu2VjCVpTQ,Madison,WI,53704,43.1284594,-89.3063978,3,48,1,3,8,4,2,2,3,2,1,2,2,2
_6Brh4UGrsnakkBKT1H_Qw,Cleveland,OH,44113,41.499502302,-81.70530547,3.5,113,1,3,8,2,2,1,2,2,1,2,1,2
_6C-yZCmIyOmPESJbwyaSQ,Pittsburgh,PA,15224,40.465428811,-79.94505395,4.5,10,1,1,0,2,2,2,3,1,1,2,1,1
_6eGIZJNgEM-gVVfWcGghg,Mentor,OH,44060,41.6743846,-81.3217189,3.5,27,1,2,8,4,2,2,3,2,1,2,1,2
_6hReDyVSr94W2WMO1LJLw,Lakewood,OH,44107,41.4851374,-81.8020788,4,237,1,2,4,2,2,2,3,1,1,1,1,1
_6mvQX9x66oz046eS5ii8w,Phoenix,AZ,85014,33.4804917,-112.0490225,4,156,1,2,8,4,2,2,3,1,1,1,1,2
_6n27rKvvDiPzWjcF24onA,Solon,OH,44139,41.3864229,-81.440083,4.5,47,1,3,0,4,2,2,2,1,1,2,2,2
_6PaV-VWPo5ZB_wigq_17g,Chandler,AZ,85224,33.341688,-111.859617,3.5,11,0,3,0,4,2,2,3,2,2,2,2,2
_70P6YlJVWHQq__6NpIWkA,Phoenix,AZ,85006,33.474169,-112.064757,4,14,0,1,8,2,2,2,1,2,1,1,1,1
_7bPSTUk_FZvomYjawpdhA,Chandler,AZ,85225,33.2994159,-111.8421862,3.5,3,0,1,0,0,2,2,3,2,1,1,1,2
_7EsArRtaywrPasvA8ryfg,Las Vegas,NV,89109,36.1193098,-115.1717702,4,31,0,1,0,0,2,2,3,1,1,1,1,2
_7FdoBvlZH64Zx52ISc59Q,Scottsdale,AZ,85254,33.639669914,-111.9449058,3,23,0,1,0,0,2,2,1,2,2,2,1,2
_7hhpjQHxjPi0gNzzMmO6g,Phoenix,AZ,85040,33.3936908,-112.0732157,2.5,6,1,1,0,0,2,2,4,1,1,1,1,1
_7kVnn5_19ckuFPS9PCrpQ,Las Vegas,NV,89148,36.095848775,-115.2968895,3.5,83,0,1,8,4,2,2,3,1,1,1,1,1
_7mfgepDzTjzUcZqQE26Cg,Scottsdale,AZ,85251,33.4959382,-111.9221449,3,46,0,3,3,1,2,1,3,2,1,3,2,2
_7nELtYw3n2DzMN8252lhQ,Pittsburgh,PA,15220,40.441158002,-80.03373347,3.5,35,1,3,0,0,2,2,3,2,1,2,2,2
_7qqB7K-Cd2vhb3NEUcdtw,Las Vegas,NV,89121,36.1144544,-115.0917302,4.5,22,0,1,8,4,2,2,1,1,1,1,1,2
_7u6Cdgoo65xqUNOuRX4Ew,Phoenix,AZ,85018,33.4954244,-111.9881673,4,51,1,1,8,0,2,2,1,2,1,1,1,1
_8_XQHXPVwKuuklFgZ_5Lg,Chandler,AZ,85286,33.2650711,-111.858045,3.5,72,1,1,8,0,2,2,3,1,1,2,1,2
_82041xhXs6-_WWT82BA8Q,Pittsburgh,PA,15234,40.365075,-80.024144,3,18,1,1,0,0,2,2,1,1,2,1,1,1
_8AlKWBLY9F9zX8siTOr9A,Mesa,AZ,85202,33.3936568,-111.8771793,4.5,9,1,1,0,0,2,2,3,1,1,1,1,1
_8c3Ky90nE50rN4Mb_Sxtw,Phoenix,AZ,85004,33.453806,-112.0719128,3.5,55,1,1,8,2,2,2,1,2,1,1,1,1
_8HzIslOdrED7JQF2DU2fg,Phoenix,AZ,85020,33.5671471,-112.065592,3,13,1,1,0,0,2,2,3,1,1,1,1,1
_8I19IRzDXmMSRES9cEGlw,Laveen,AZ,85339,33.3788966,-112.1658771,2,12,1,1,0,0,2,2,2,1,1,1,1,1
_8mBVtt6yhkS0YtT1FGBNg,Las Vegas,NV,89134,36.191832,-115.3053232,4,42,1,1,0,1,2,2,1,2,1,2,1,1
_8Os_hsIMqO7njlJChHdvA,Cleveland,OH,44103,41.517798,-81.660684,4,4,1,2,0,0,2,2,3,2,1,2,1,2
_8URoVfDFkJtuAM53sNyLQ,Mesa,AZ,85210,33.3885345,-111.8393416,2.5,3,1,1,0,0,2,2,3,1,1,2,1,2
_8VkSb_Mryb6bHQxSWB7Pg,Las Vegas,NV,89146,36.1261008,-115.211285,4,366,1,1,8,4,2,2,3,1,1,2,2,2
_8yxceldCT7oe0wJC-yDPA,Las Vegas,NV,89113,36.0533813,-115.2795528,3.5,156,1,1,8,4,2,2,1,1,2,2,1,2
_9DqfW3Nv8Brb-1fz5XyOQ,Pittsburgh,PA,15213,40.441740401,-79.95708104,3.5,33,0,1,8,0,2,2,3,1,2,1,1,1
_9ivE0h8DdfEWqdSL8JU6g,Cleveland,OH,44119,41.5795482,-81.550121,3.5,45,1,3,8,4,2,2,3,2,1,2,2,2
_9JdskgVrCRg_Lq4_uUucw,Cuyahoga Falls,OH,44221,41.164006,-81.477507,2.5,6,1,1,0,0,2,2,3,1,1,1,1,1
_9LZl0rVu89UOt5a6_J4wQ,Goodyear,AZ,85395,33.465746333,-112.3566317,3,32,1,1,0,0,2,2,2,2,2,1,1,1
_9Oh4NYx5Yjd4tG2_HWQww,Chandler,AZ,85249,33.2356339,-111.7916295,4,120,1,3,2,4,2,1,3,2,1,2,2,2
_9oVB-ICuyxfnK8JGpiwKA,Madison,WI,53703,43.0848133,-89.3760907,2.5,3,0,1,0,0,2,2,3,1,2,1,1,1
_9vGmNrEcLWFOnUzeUdfag,Gilbert,AZ,85234,33.355034,-111.7892792,4,815,1,1,8,2,2,2,3,2,2,2,1,1
_9VQUKCkYWHfUTnxbn4O_A,Mesa,AZ,85210,33.393700829,-111.841278,3.5,68,1,1,8,4,2,2,3,1,1,2,1,1
_9W8i0ZLcz8oCsjQIc3_Ww,Tempe,AZ,85284,33.3213732,-111.9631044,3,3,1,1,0,0,2,2,3,1,1,2,1,2
_a6jhRFIgOe74U73T5B-Ww,Champaign,IL,61820,40.1147989,-88.2384807,3.5,53,1,3,8,4,2,2,3,2,1,2,1,2
_a8vCw5cxt1vhN-HbgNGuw,Charlotte,NC,28209,35.172816,-80.846867,3.5,135,1,3,8,4,2,1,4,2,1,3,2,2
_AAzQeNJ4E2HIxM50qdwBA,Pittsburgh,PA,15219,40.4566938,-79.9683627,5,13,1,1,0,2,2,2,1,1,1,1,1,1
_adbswq_0E8MoJ9eoVf6vw,Pittsburgh,PA,15235,40.443041,-79.826353,2.5,33,1,1,0,0,2,2,3,1,1,2,1,2
_Ahg3MfDXfKrh36NUadNbA,Pittsburgh,PA,15222,40.4436333,-80.0007051,2,57,0,3,8,2,2,1,3,2,1,2,2,2
_aIQsyaRn7CJh8gWSbuJgA,Las Vegas,NV,89148,36.097911289,-115.2977933,4.5,22,0,1,0,0,2,2,1,1,1,2,2,2
_Aj02-sb1QDNIVXK64qTVw,Las Vegas,NV,89146,36.1481287,-115.2426539,4,8,0,1,0,0,2,2,3,1,1,1,1,2
_AKdBFzkl7GY-daxUCCbVA,Pittsburgh,PA,15205,40.439469767,-80.15051407,3,50,1,3,6,4,2,2,3,2,1,2,2,2
_aofcEsCpuKVqK39u03x-A,Peoria,AZ,85383,33.711880309,-112.2729963,3,54,0,1,8,4,2,2,3,2,1,2,1,1
_APcAWIVRrkYIQfwGcOeww,Avondale,AZ,85323,33.430535,-112.345359,4,6,0,1,0,0,2,2,3,1,1,2,2,2
_AqONUa91mBuuxS4bgSRBA,Russellton,PA,15076,40.6173056,-79.8328112,4.5,19,1,1,8,4,2,2,3,1,1,1,1,2
_ax_jfISiBZ4JSTHrI4xJA,Gilbert,AZ,85295,33.3041916,-111.7888358,4,187,1,3,8,0,2,2,3,2,1,2,2,2
_aX7bPzYQdrIVUJpG_-0zg,Streetsboro,OH,44241,41.241,-81.352734,2.5,32,1,1,8,4,2,2,3,1,1,1,1,2
_aYYRuwTXItHvrc19cNqZg,Phoenix,AZ,85303,33.507972717,-112.220192,1.5,12,1,1,0,0,2,2,3,2,1,1,1,1
_B-LJC1Aj50Cdxd9p9uBaA,Glendale,AZ,85308,33.6701992,-112.2024765,1.5,24,1,1,0,0,2,2,1,1,1,1,1,1
_B3jnaQVtDXqydea1y92fQ,Phoenix,AZ,85051,33.578692,-112.1182099,4,162,1,3,8,4,2,2,2,1,1,2,1,2
_baq5LloRpwIxKLaRLOA1g,North Olmsted,OH,44070,41.4160299,-81.9019661,3.5,5,0,1,0,4,2,2,3,1,1,1,1,2
_BCwZIK6GYht9cM-HGLduQ,Phoenix,AZ,85021,33.571532,-112.08354,5,15,1,1,0,0,2,2,3,2,1,1,1,2
_BdDVf8wSBsuSwEale4Dvg,Cave Creek,AZ,85331,33.79818001,-111.9806217,3.5,3,1,1,0,0,2,2,3,1,2,1,1,2
_bDy-L6f148jLEzXSuBOFw,Chandler,AZ,85226,33.306177454,-111.8992405,4.5,128,1,1,8,4,2,2,3,2,1,1,1,1
_BJdRw73rGb35ofd3ElTUA,Tempe,AZ,85281,33.4223217,-111.9257103,4,8,1,1,0,0,2,2,3,1,1,2,1,2
_blrEZQZ6et5QEUa-a2WLg,Henderson,NV,89012,36.041158,-115.047221,2.5,30,1,1,8,4,2,2,1,2,1,1,1,1
_bOlJfNELoVIiYGonYnPWw,Las Vegas,NV,89142,36.158068297,-115.0462754,3.5,25,1,1,8,4,2,2,1,1,2,2,1,2
_bpNAXZqG28e8XplS1wbpw,Phoenix,AZ,85012,33.4841425,-112.0746935,3,9,0,1,0,0,2,2,3,2,1,1,1,1
_Bt0--KxX5A1uhM0gfIjPQ,Huntersville,NC,28078,35.442844,-80.866318,2,5,1,1,0,0,2,2,1,1,1,1,1,1
_BurpVcmKZRovzqW4cm1qw,Peoria,AZ,85382,33.6376876,-112.2250768,3.5,11,1,3,0,0,2,2,3,1,1,2,1,2
_bvc2j6E8mk_ZiMoh2iMuQ,Glendale,AZ,85301,33.5378872,-112.1993269,2,5,1,1,0,0,2,2,1,2,1,1,1,2
_BVsHMWSF83bxakE9eTmhw,Bridgeville,PA,15017,40.3955602,-80.0867033,3,56,1,3,8,4,2,2,2,2,1,2,2,2
_C-KsbyON91RH6cWKUfT5g,Oakmont,PA,15139,40.527324,-79.8421709,4.5,19,1,3,2,2,2,1,1,1,1,2,2,2
_c3ixq9jYKxhLUB0czi0ug,Phoenix,AZ,85007,33.4797891,-112.0909944,3.5,223,1,3,8,4,2,2,3,2,1,1,1,1
_cBlppMDZYXS-Bjj4l9qtw,Las Vegas,NV,89101,36.1883174,-115.1161999,2.5,5,1,1,0,0,2,2,3,1,1,2,1,2
_cbRzxYBYsQq2MXuivztjw,Westlake,OH,44145,41.463219,-81.9547974,3.5,21,1,1,8,4,2,2,3,2,1,1,1,1
_CEoobNepzCNHxege05A5A,Charlotte,NC,28262,35.3175247,-80.778361,3.5,45,1,3,8,4,2,2,3,1,1,2,2,2
_CF9vpN1F9KcAkXbOIkL8w,Phoenix,AZ,85031,33.4964589,-112.1672899,3.5,15,1,1,0,0,2,2,1,1,1,1,1,1
_CgBou-sE-UW2j4otiKtlw,Las Vegas,NV,89102,36.1462228,-115.207528,3.5,11,0,1,0,0,2,2,3,2,1,1,1,1
_cnEt-zbF3WnDt9ZapaCIQ,Elyria,OH,44035,41.400567,-82.107802,2.5,6,1,1,0,0,2,2,3,1,1,1,1,2
_CoCciEZC0tlt504oPuJsQ,Korntal-Münchingen,BW,70825,48.8537,9.08896,4.5,3,1,2,0,0,2,2,3,2,1,3,2,2
_cs_J4j8XXyBgihJs83qUg,Las Vegas,NV,89113,36.044874411,-115.2438998,2,81,1,1,8,4,2,2,3,1,1,1,1,1
_csgqOCUWhaS4KAwm9Rcag,Charlotte,NC,28273,35.103883,-80.984753,2.5,33,1,1,8,2,2,2,3,2,1,1,1,1
_ctJ1voqO3ID2C8IxxGUxg,Painesville,OH,44077,41.750611323,-81.20730231,4,24,1,3,8,4,2,2,3,1,1,2,2,2
_cySQtzW1NAQLciwjsnXrg,Lakewood,OH,44107,41.4849242,-81.8062787,4,22,1,1,0,2,2,2,3,1,2,2,1,1
_d_nkRmQDRRA0oOaxR-W8Q,Stow,OH,44224,41.1674548,-81.404602,3.5,8,1,3,0,4,2,2,2,1,1,1,1,2
_D24o_hslw6Ez4xXfgbRVw,Charlotte,NC,28277,35.104716505,-80.77807188,3,48,1,2,0,0,2,2,3,2,1,1,1,2
_d69ooWJ_7AXYQRvVNSjmQ,Pittsburgh,PA,15237,40.543238,-80.01371,2,13,0,1,0,0,2,2,2,1,2,1,1,1
_d76h17SjTnEq20u42Wwwg,Mayfield Heights,OH,44124,41.5197812,-81.4600367,4,4,1,3,0,0,2,2,3,1,1,1,1,2
_dcX-gXs3VxTBmURWdnTOw,Sun Prairie,WI,53590,43.199453723,-89.226148,3.5,129,1,3,8,4,2,2,3,2,1,2,2,2
_dfqxi1krqXmVHoGkfPnXg,Mesa,AZ,85210,33.3939895,-111.856604,2.5,104,1,2,8,4,2,2,3,1,1,1,1,2
_dGND4z03G9REQh_KvfLUw,Verona,WI,53593,42.9938065,-89.5238093,3.5,5,1,1,0,0,2,2,2,2,1,1,1,1
_DiGwfdiH913E4LURwb2qg,Phoenix,AZ,85006,33.4760486,-112.0654671,3.5,131,1,1,8,4,2,2,3,1,1,1,2,2
_DOjM_VGK-ojgjoY6esOdg,Charlotte,NC,28277,35.0624111,-80.7716169,3.5,61,1,2,8,2,2,2,3,2,1,1,1,1
_DPJ_PHJnXsuhYhsgBA0Xw,Phoenix,AZ,85004,33.477206408,-112.0735331,4,660,1,3,3,4,2,1,3,1,1,3,2,2
_DpnhekFOZDPNBDekWpx4A,Madison,WI,53704,43.126162062,-89.30636091,2.5,41,1,3,8,0,2,2,2,2,1,2,1,2
_dqtEOTelXt9tfmP_9Ar6w,Pittsburgh,PA,15222,40.4394403,-80.0009542,4.5,23,1,1,8,2,2,2,1,1,1,1,1,1
_dvEaK970_4AFzVd2z9VCg,Stuttgart,BW,70469,48.7993,9.14725,2.5,3,1,1,0,0,2,2,3,1,1,2,1,2
_DyxQ_qmz2EN6RvPIvEV6A,Gilbert,AZ,85296,33.3204367,-111.7741953,3.5,3,0,1,0,0,2,2,3,1,2,1,1,2
_E2LpT3PbYloqSFIQAYHTg,Seven Hills,OH,44131,41.3517129,-81.68411,3,25,1,2,0,4,2,2,3,1,1,1,1,2
_e3rChyednoh47n2cjGv2w,Phoenix,AZ,85018,33.479852248,-111.9939478,4.5,138,1,3,8,4,2,2,3,2,1,2,2,2
_E6j0AVb3lkLBLzvPHInXA,Phoenix,AZ,85050,33.675990722,-111.970882,3.5,87,1,1,8,4,2,2,3,2,1,1,1,1
_EBa6I5KkADiCdcBHOC_tg,Henderson,NV,89052,36.004787609,-115.1123752,4,176,1,1,8,1,2,2,3,2,2,2,1,1
_ecuzP8HBsuQfYy7IR8Jyg,Bay Village,OH,44140,41.4900498,-81.9355988,4,34,1,2,1,4,2,1,1,2,1,3,2,2
_EGWxiD27k3ahcFpmbSjQg,Pittsburgh,PA,15210,40.4146974,-79.9876465,3.5,4,1,1,0,0,2,2,3,1,2,1,2,2
_EIIcHRJVqaDRjcffDOBSg,Henderson,NV,89014,36.0741043,-115.0828384,4,7,0,3,0,0,2,2,3,1,1,2,1,2
_Ejjcg6V2sHb_W8CyIUtXg,Madison,WI,53703,43.0726298,-89.3954581,2.5,6,0,1,0,0,2,2,3,2,2,1,1,1
_eKvk2GoGKb3CoYolHgRlg,Phoenix,AZ,85044,33.347893,-111.9768218,4.5,19,1,1,0,0,2,2,3,2,1,2,1,1
_eNeiqWPt1MPLFF6DEIJeA,Lakewood,OH,44107,41.477129525,-81.80591389,3.5,75,1,3,6,2,2,1,3,1,2,2,2,2
_epxHMZUc0sNH9W8mUCIBQ,Mesa,AZ,85212,33.307161,-111.6689463,3,21,1,1,0,0,2,1,3,1,1,2,1,2
_EscuUrYSiacxIicHmIZAA,Esslingen,BW,73728,48.740933485,9.3043389815,3,4,1,1,0,0,1,2,3,2,1,3,2,2
_euNvs0P14284FXN1vZ_Pw,Madison,WI,53716,43.0785876,-89.3240091,4,142,1,1,8,4,2,2,3,2,1,1,1,1
_EVOLAjWYEfSOO_smbBxaA,Wexford,PA,15090,40.623071195,-80.05449849,3,15,1,1,0,0,2,2,2,2,1,1,1,1
_ewxwEwJM-IYfIYnKpQOZw,Las Vegas,NV,89121,36.1006893,-115.101102,4.5,25,1,1,0,0,2,2,3,1,1,1,1,1
_eYGcch95eygN_b_rigUkg,Las Vegas,NV,89121,36.1008737,-115.0755602,3,15,1,1,0,0,2,2,3,1,1,2,1,2
_F4qxboOpRaOOMWsmXU8QA,Charlotte,NC,28215,35.235463474,-80.73868029,4,21,1,1,0,0,2,2,3,1,1,1,1,2
_f5YHEXgDBBOBbRSKx33YA,Peoria,AZ,85382,33.628251,-112.238064,3,9,0,3,0,4,2,1,2,2,1,2,1,2
_FH3osvpPRnMv-K2u6ZM3w,Pittsburgh,PA,15233,40.4516136,-80.0174961,4.5,85,1,1,8,2,1,2,3,1,2,1,1,1
_FLNxsJ6T9WLkAdjwCLEqw,Madison,WI,53703,43.0749204,-89.3883945,3.5,41,1,1,8,0,2,2,3,2,1,1,1,1
_flZPT7fynq6WFzWvFOV4g,Las Vegas,NV,89107,36.17560084,-115.2222652,4.5,14,0,1,0,4,2,2,3,1,1,1,2,2
_fN2KAvWGIu54iuKMT6neg,Phoenix,AZ,85034,33.437532749,-112.00229,2,3,1,1,0,0,2,2,3,1,1,2,1,2
_Fo8uNT17BEBUkKvUXCZkQ,Las Vegas,NV,89147,36.115441845,-115.2885658,4.5,21,1,1,0,0,2,2,3,1,1,1,1,2
_fR9DtLF3rbRsPk9kWbz3A,Charlotte,NC,28211,35.1586013,-80.8321895,3.5,5,1,1,0,0,2,2,3,1,1,2,1,2
_FSuj1Xrlu37MdbA5D7y0Q,Mesa,AZ,85204,33.3830888,-111.8026577,3,8,0,1,0,0,2,2,3,1,1,1,1,1
_fTBHNW58xuw0MMbgZTz9w,Phoenix,AZ,85008,33.455324622,-111.9878865,3,61,1,2,8,4,2,2,3,1,1,2,2,2
_Fuf_7YczZoJhWHkjsi7hQ,Phoenix,AZ,85051,33.574974,-112.1210338,4.5,7,1,1,0,0,2,2,3,1,1,1,2,2
_FXa_6j-6UDsxWo-KX7WvQ,Gilbert,AZ,85295,33.2937677,-111.7736197,4,311,1,1,8,4,2,2,3,2,1,1,1,1
_FXVSfNTDcQz8BmQ8vbw3A,Twinsburg,OH,44087,41.3073038,-81.4419172,3,8,0,1,0,0,2,2,3,1,1,2,1,2
_g0dF6TAj7-RlSUfsGwl7w,Cleveland,OH,44106,41.5034762,-81.6013396,3.5,11,0,1,0,0,2,2,3,2,2,1,1,2
_g1dtWEgy2HmOg107qsU7g,Stuttgart,BW,70178,48.773029521,9.1731353849,3,3,1,1,0,0,2,2,3,1,1,2,2,2
_GcAYVlZtzmruRQ128KJnA,Tempe,AZ,85284,33.3353841,-111.9270761,3.5,12,0,2,0,4,2,2,3,1,2,2,1,1
_giuQJ5eYQNxE_wtcNDm_A,Charlotte,NC,28217,35.1547888,-80.876566,3.5,46,1,3,8,4,2,2,3,1,1,2,1,2
